ProductName,ProductDescription,Price,Spicy,Contain
クラシックチキンカレー,柔らかいチキンが入った、濃厚なトマトグレービーの伝統的なチキンカレー。,1500,3,"チキン, 玉ねぎ, トマト, 生姜, ニンニク, クミン, コリアンダー, ターメリック, チリパウダー, ガラムマサラ, カルダモン, クローブ, シナモン, 塩, オイル, ヨーグルト, パクチー, 青唐辛子, ベイリーフ, バター"
野菜デライトカレー,季節の野菜とインドのスパイスを詰め込んだ、健康的なカレー。,1200,2,"ニンジン, カリフラワー, ジャガイモ, インゲン豆, グリーンピース, 玉ねぎ, トマト, 生姜, ニンニク, クミン, コリアンダー, ターメリック, チリパウダー, ガラムマサラ, 塩, オイル, パクチー, 青唐辛子"
シーフードココナッツカレー,エビ、イカ、ムール貝が入った、クリーミーなココナッツベースのカレー。,2000,4,"エビ, イカ, ムール貝, ココナッツミルク, 玉ねぎ, トマト, ニンニク, 生姜, レモングラス, カフィアライム, ナンプラー, ターメリック, チリ, ガランガル, パクチー, 塩, オイル, 青唐辛子, コリアンダー"
スパイシービーフヴィンダルー,辛味が強く、濃厚なスパイスで作られたビーフカレー。,1800,5,"牛肉, 玉ねぎ, トマト, 生姜, ニンニク, クミン, コリアンダー, 酢, ターメリック, チリパウダー, 黒胡椒, シナモン, クローブ, マスタードシード, フェヌグリーク, 塩, オイル, ベイリーフ, 青唐辛子"
パニールバターマサラ,マイルドでクリーミーなカレーで、パニールチーズがトマトソースに入っています。,1600,1,"パニール, 玉ねぎ, トマト, ニンニク, 生姜, バター, クリーム, クミン, コリアンダー, ターメリック, ガラムマサラ, チリパウダー, フェヌグリークリーフ, 塩, オイル, 青唐辛子, パクチー"
ラムローガンジョシュ,香り豊かなスパイスでじっくり煮込まれた伝統的なラムカレー。,2200,4,"ラム肉, 玉ねぎ, トマト, ニンニク, 生姜, クミン, コリアンダー, フェンネルシード, クローブ, カルダモン, シナモン, カシミールチリ, ターメリック, ヨーグルト, 塩, オイル, 青唐辛子, ガラムマサラ, パクチー"
タイグリーンカレー（シュリンプ入り）,ピリ辛のタイグリーンカレーで、新鮮なハーブとエビが特徴。,2100,4,"エビ, ココナッツミルク, グリーンカレーペースト, タイバジル, カフィアライム, タケノコ, ナス, ニンニク, 生姜, ナンプラー, レモングラス, コリアンダー, 青唐辛子, 塩, オイル, ライムジュース"
ナスとひよこ豆のカレー,ナスとひよこ豆が入った、味わい深いベジタリアンカレー。,1300,3,"ナス, ひよこ豆, 玉ねぎ, トマト, 生姜, ニンニク, クミン, コリアンダー, ターメリック, ガラムマサラ, チリパウダー, 塩, オイル, パクチー, 青唐辛子, ほうれん草, ニンジン, マスタードシード"
ゴアンフィッシュカレー,コクムを使った、酸味と辛味が効いたゴア風のフィッシュカレー。,1900,4,"白身魚, コクム, ココナッツミルク, 玉ねぎ, トマト, ニンニク, 生姜, マスタードシード, クミン, コリアンダー, ターメリック, チリパウダー, 青唐辛子, 塩, オイル, パクチー, フェヌグリークシード, カレーリーフ"
マッシュルームとほうれん草のマサラ,マッシュルームとほうれん草が入った、滑らかな味わいのカレー。,1400,2,"マッシュルーム, ほうれん草, 玉ねぎ, トマト, ニンニク, 生姜, クミン, コリアンダー, ターメリック, ガラムマサラ, チリパウダー, 塩, オイル, パクチー, 青唐辛子, ココナッツミルク, フェヌグリークリーフ, マスタードシード"
